DIEGRAPH2
[CURRENT]
item=3030053
mspec=4780
min=0.032
target=0.035
max=0.038
range=6
0.5307
0.5338
0.5282

0.5171
[LOOKUP]
MSPEC #	AF#	Lower Spec	Lower Control	Target	Upper Control	Upper Spec	Thickness Range Max	Cell Count Min	Cell Count Max	Density Min	Density Target	Density Max	Weight Min	Weight Target	Weight Max	Filename
9108	AF540			0.53500000000000003			40	18	22							9108 S4 AF540 1.5# No Reclaim 8-19-2014
9301	AF100		1.0349999999999999	1.05	1.0649999999999999		60	18	22							9301 AF1000 17 Blk Rate 1250
4038	AF250		0.23699999999999999	0.25	0.26300000000000001		36	18	20							4038 S3 6 die AF250  2.1# Rev 1-10-12
4791	AF750		0.76	0.76500000000000001	0.77		40	18	20							4791 S4 5.5 Setnial AF750 1.5# Charcoal  8-16-12
7020	AF185		0.17699999999999999	0.19	0.20300000000000001		36	18	20							7020 S3-6.0 Richter-AF185FLAT 1.9#
7502	AF750		0.78500000000000003	0.79500000000000004	0.80500000000000005		40	18	20							7502 S4 AF750 Yellow FR 2# Rev10-20-2015 
9103	AF100		1.05	1.0529999999999999	1.28		56	18	20							9103 AF1000 17# Black
9109	AF750		0.76	0.78	0.78		40	18	20							9109 S4 5.5 Set AF750 1.5# Rev 8-19-14
9111	AF750		0.75	0.76	0.77		40	18	20							9111A S4 5.5 Setnial AF750 2.2 AS 05012017
7018	AF230		0.22500000000000001	0.23	0.23499999999999999		24	17	23							7018 S3 7.0 Richter AF230 1.4# Rev 10-03-12
7022	AF230		0.22500000000000001	0.23	0.23499999999999999		24	17	23							7022 S3 4.1 die AF230 1.4# Rev 100412 em (LKQ WIP 304141)
4007	AF250		0.25900000000000001	0.27	0.28100000000000003		22	17	19							4007 S1 5.8 die AF250 1.28# Rev 02-06-12
7014	AF280		0.27	0.28000000000000003	0.28499999999999998		22	17	19							7014 S3 6.0 die AF280 1.28# Rev 12-19-11
4019	AF375		0.35499999999999998	0.375	0.39500000000000002		40	17	18							4019 S3-6.0 Richter-wH20Ring-AF375 2.0# FLAT
9052	AF375		0.35499999999999998	0.375	0.39500000000000002		40	17	18							9052 S3-6.0 Richter-withH20-AF375 1.7# FLAT
4480	AF500		0.51500000000000001	0.52500000000000002	0.53		40	16	20							4480 AF500 1.7 RNW 100% 1750 PPH
4540	AF500		0.505	0.51500000000000001	0.52		30	16	20							4540 S3-6.0 Richter-AF500 1.40#
4541	AF750		0.75	0.76	0.77		40	16	20							4541 AF750 .9 Grey Rate 1250
6251	AF250		0.245	0.25	0.26		20	16	20							6251 S3 6 RICHTER AF250 1.7# 06-1-2015
9106	AF500		0.51	0.52	0.53100000000000003		25	16	20							9106 S4 5.5 Setnial AF500 2.2# FR Rev 2-5-14
9625	AF625		0.61499999999999999	0.625	0.63500000000000001		40	16	20							9625 S4 5.5 Setnial AF625 1.5#  Rev 3-16-12
6235	AF235		0.23	0.23499999999999999	0.245		20	16	18							6235 Trial S3 6.0 Richter AF235 1.1# ESP Green Water Ring
6252	AF250		0.245	0.25	0.26		20	16	18							6252 S3-6.0 Richter-AF250 2#
7104	AF625		0.621	0.63100000000000001	0.64100000000000001		26	15	19							7104 S3-6.0 Richter--AF625 1.7# Birdie Ball
7023	AF280		0.28000000000000003	0.28000000000000003	0.3		20	8	10							7023 S3 6.0 Richter Softub 3-13-2015
6090	AF090															6090 S3 AF090 2# Rev 10042018 
[TABLES4]
Item Desc	MSPEC	Date/Time	Line	Item #	Bundle #	Slit/Width	Footage	Perf Roller On	Cell Count MD	Cell Count CD	Thickness Average	Thickness Range	Density	Pass/Fail	User	Reason for Check	Notes	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	Weight	Slit/Width Pass/Fail	Perf Roller Pass/Fail	Cell Count MD Pass/Fail	Cell Count CD Pass/Fail	Thickness Average Pass/Fail	Thickness Range Pass/Fail	Density Pass/Fail	Weight Pass/Fail	Roll Weight
AF500 53" LENGTH:500	4780	45811.34542824074	S4	3030053	83	53	510	Yes	20	20	0.52245384615384605	22.900000000000031	0	Pass	GWEXLER	HOURLY		0.53069999999999995	0.53380000000000005	0.5282	0.5161	0.5171	0.52380000000000004	0.53390000000000004	0.52749999999999997	0.51690000000000003	0.51100000000000001	0.51839999999999997	0.52039999999999997	0.5141		Pass	Pass	Pass	Pass	Pass	Pass			
AF500 53" LENGTH:500	4780	45814.393113425926	S4	3030053	1	40	505	Yes	20	20	6.5	12000	369.23076923076923	Fail	GWEXLER	HOURLY	I am typing notes	0.5	1.5	2.5	3.5	4.5	5.5	6.5	7.5	8.5	9.5	10.5	11.5	12.5	200	Fail	Pass	Pass	Fail	Pass	Fail		Fail	
AF500 53" LENGTH:500	4780	45814.40148148148	S4	3030053	2	48	500	No	20	20	6.1	12000	3934.4262295081971	Fail	GWEXLER	HOURLY	these are notes	0.1	1.1000000000000001	2.1	3.1	4.0999999999999996	5.0999999999999996	6.1	7.1	8.1	9.1	10.1	11.1	12.1	2000	Fail	Fail	Pass	Pass	Fail	Pass	Fail	Fail	
AF500 53 LENGTH:500	4540	46255.271898148145	S4	3030058	72	53	500	Yes	18	18	0.53	39.000000000000036	1.4151192976349454	Pass	Nck M.	HOURLY		0.53	0.52500000000000002	0.53400000000000003	0.5	0.52700000000000002	0.53500000000000003	0.53800000000000003	0.53700000000000003	0.53900000000000003	0.53200000000000003	0.52	0.53500000000000003	0.53800000000000003	3.15	Pass		Pass	Pass	Pass	Pass	Pass		162
